Year,Country,"Proceeds_Amount_+_Over_Sold_This_Market_(USD,_mln)",IPO_market_share,IPOs_Number_of_Issues,P/E_Ratio,E/P_ratio,Exchange_rate,Stock_Market_Index,Interest_rate_up_to_1_mln,Interest_rate_over_€1M,Aver_interest_rate_to_nonfinance,"Real GDP (USD, b)",Real_GDP_Growth_(%),Nominal_GDP_($B),Population_(M),Population_Growth_(%),GDP_Per_Capita_($),Real_Private_Consumption_Growth_(%),Real_Government_Consumption_Growth_(%),Real_Gross_Fixed_Investment_Growth_(%),Industrial_Production_Growth_(%),Unnamed: 37
2009,Hungary,0.00,0.0,1,15.2913,0.07,0.719800423489554,"21,227.01",,,#DIV/0!,124.31,-6.63,131.07,9.96,(0.32),"13,160.31",-5.65,1.65,-9.12,-17.81,
2010,Hungary,179.37,64.03,4,12.1724,0.08,0.755043518257105,"21,327.07",9.4,7.82,8.61,125.57,1.02,132.18,9.93,(0.32),"13,314.24",-1.35,1.45,-9.47,10.51,
2011,Hungary,0.00,0.0,1,10.8504,0.09,0.719158754470168,"16,974.24",9.3,7.69,8.495,127.93,1.88,141.94,9.9,(0.32),"14,343.86",0.85,-0.07,-1.3,5.64,
2012,Hungary,2.93,1.05,1,12.6385,0.08,0.778006210395884,"18,173.20",10.46,8.84,9.65,126.57,-1.06,128.81,9.86,(0.32),"13,058.56",-2.26,-0.41,-2.99,-1.38,
2013,Hungary,1.97,0.7,1,10.6615,0.09,0.753297658306669,"18,564.08",8.79,7.39,8.09,128.87,1.81,135.68,9.83,(0.31),"13,797.58",-0.04,5.57,9.80,1.39,
2014,Hungary,0.00,0.0,0,8.7063,0.11,0.753695140645586,"16,634.00",5.78,4.67,5.225,134.19,4.13,141.03,9.8,(0.29),"14,383.88",2.19,8.92,12.18,7.23,
2015,Hungary,0.00,0.0,0,15.3448,0.07,0.901451643908024,"23,920.65",5.47,2.43,3.95,139.09,3.65,125.17,9.78,(0.28),"12,801.71",3.62,1.28,4.86,7.14,
2016,Hungary,6.15,2.19,2,12.4216,0.08,0.904281526915114,"32,003.05",4.88,1.75,3.315,142.12,2.18,128.61,9.75,(0.26),"13,186.73",4.11,0.53,-10.59,0.74,
2017,Hungary,85.66,30.58,1,11.4698,0.09,0.887107173889516,"39,377.31",3.71,0.56,2.135,148.4,4.42,143.11,9.73,(0.24),"14,708.61",4.47,3.78,19.68,5.23,
2018,Hungary,0.08,0.03,2,10.2004,0.10,0.847324485146496,"39,138.95",3.22,0.36,1.79,156.42,5.40,160.57,9.71,(0.23),"16,540.37",4.13,4.26,16.27,3.86,
2019,Hungary,0.00,0.0,0,9.4576,0.11,0.893348371188594,"46,082.82",2.97,0.83,1.9,164.02,4.86,164.02,9.68,(0.24),"16,936.07",4.51,9.49,12.78,5.68,
2020,Hungary,0.94,0.33,1,13.8403,0.07,0.877541570440429,"42,107.57",2.98,1.48,2.23,156.31,-4.7,157.23,9.66,(0.25),"16,275.50",-1.82,3.88,-7.13,-6.84,
2021,Hungary,3.05,1.09,1,8.1077,0.12,0.845553392731664,"50,720.71",6.4,5.72,6.06,167.32,7.04,182.09,9.63,(0.27),"18,900.47",3.99,2.51,5.79,9.68,
2022,Hungary,0.00,0.0,0,4.3143,0.23,0.950882523746784,"43,793.76",,,#DIV/0!,174.96,4.57,177.34,9.61,(0.29),"18,460.66",6.43,0.37,0.10,5.80,
2009,Bulgaria,12.25,1.5,2,15.48,0.06,0.719800423489554,427.27,12.06,9.82,10.94,56.16,-3.49,52.02,7.47,(0.67),"6,961.09",-4.69,0.00,-15.54,-20.18,14.13
2010,Bulgaria,6.18,0.76,2,7.29,0.14,0.755043518257105,362.35,11.46,7.29,9.375,56.94,1.39,50.68,7.43,(0.65),"6,825.90",1.54,6.13,-19.61,14.13,17.22
2011,Bulgaria,0.00,0.0,0,0.45,2.23,0.719158754470168,322.11,8.48,7.1,7.79,58.28,2.36,57.68,7.38,(0.62),"7,817.14",2.14,0.66,-2.51,17.22,2.32
