Year,Country,"Proceeds Amount + Over Sold This Market (USD, mln)",IPO market share,IPOs Number of Issues,P/E Ratio,E/P ratio,Stock Market Index,  Interest rate Non Financial Corp New Other Loans up to €1M up to 1 Year Fixed,Interest rate Non Financial Corp New Other Loans over €1M up to 1 Year Fixed,Aver _nterest_rate_to_nonfinance,Real GDP Growth (%),Nominal GDP ($B),Population (M),Population_Growth(%),GDP_Per_Capita ($),Real Private Consumption Growth (%),Real Government Consumption Growth (%),Real Gross Fixed Investment Growth (%),"Real Gross Fixed Investment, LCU (BGNB)",Industrial Production Growth (%),,,,,,,,,,,,,,
2009,Hungary,0.00,0.00,1,15.2913,0.065,"21,227.01",NA,NA,#DIV/0!,(3.49),52.02,7.47,(0.67),"6,961.09",(4.69),0.00,(15.95),22.30,(20.18),,,,,,,,,,,,,,
2010,Hungary,179.37,64.03,4,12.1724,0.082,"21,327.07",9.40,7.82,8.61,1.39,50.68,7.43,(0.65),"6,825.90",1.54,6.13,(19.09),18.04,14.13,,,,,,,,,,,,,,
2011,Hungary,0.00,0.00,1,10.8504,0.092,"16,974.24",9.30,7.69,8.495,2.36,57.68,7.38,(0.62),"7,817.14",2.14,0.66,(3.66),17.38,17.22,,,,,,,,,,,,,,
2012,Hungary,2.93,1.05,1,12.6385,0.079,"18,173.20",10.46,8.84,9.65,0.49,54.30,7.33,(0.61),"7,403.74",2.92,(0.27),2.00,17.73,2.32,,,,,,,,,,,,,,
2013,Hungary,1.97,0.70,1,10.6615,0.094,"18,564.08",8.79,7.39,8.09,(0.59),55.81,7.29,(0.60),"7,655.79",(3.24),2.76,(0.42),17.65,(0.98),,,,,,,,,,,,,,
2014,Hungary,0.00,0.00,0,8.7063,0.115,"16,634.00",5.78,4.67,5.225,1.14,57.08,7.25,(0.61),"7,878.20",1.25,(0.76),3.66,18.30,0.02,,,,,,,,,,,,,,
2015,Hungary,0.00,0.00,0,15.3448,0.065,"23,920.65",5.47,2.43,3.95,3.33,50.78,7.20,(0.63),"7,053.31",2.17,1.95,2.11,18.68,1.68,,,,,,,,,,,,,,
2016,Hungary,6.15,2.19,2,12.4216,0.081,"32,003.05",4.88,1.75,3.315,3.07,53.95,7.15,(0.66),"7,543.76",2.25,2.39,(5.68),17.62,2.11,,,,,,,,,,,,,,
2017,Hungary,85.66,30.58,1,11.4698,0.087,"39,377.31",3.71,0.56,2.135,2.79,59.20,7.10,(0.69),"8,335.28",2.73,5.61,2.59,18.08,3.45,,,,,,,,,,,,,,
2018,Hungary,0.08,0.03,2,10.2004,0.098,"39,138.95",3.22,0.36,1.79,2.81,66.33,7.05,(0.72),"9,406.71",4.07,4.37,5.32,19.04,0.34,,,,,,,,,,,,,,
2019,Hungary,0.00,0.00,0,9.4576,0.106,"46,082.82",2.97,0.83,1.9,3.93,68.88,7.00,(0.73),"9,840.34",5.27,1.52,3.79,19.76,0.54,,,,,,,,,,,,,,
2020,Hungary,0.94,0.33,1,13.8403,0.072,"42,107.57",2.98,1.48,2.23,(4.03),70.20,6.95,(0.74),"10,103.53",0.80,5.94,0.10,19.78,(5.87),,,,,,,,,,,,,,
2021,Hungary,3.05,1.09,1,8.1077,0.123,"50,720.71",6.40,5.72,6.06,7.15,84.04,6.90,(0.75),"12,185.29",7.67,(2.93),(7.27),18.34,9.80,,,,,,,,,,,,,,
2022,Hungary,0.00,0.00,0,4.3143,0.232,"43,793.76",NA,NA,#DIV/0!,4.23,90.21,6.84,(0.75),"13,180.18",3.87,6.58,5.13,19.28,12.70,,,,,,,,,,,,,,
2023,Hungary,0.00,0.00,0,6.8798,0.145,"60,620.01",NA,NA,#DIV/0!,1.94,98.54,6.79,(0.76),"14,507.06",5.23,(3.32),2.65,19.80,(7.76),,,,,,,,,,,,,,
2024,Hungary,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,#DIV/0!,1.94,98.98,6.74,(0.78),"14,685.83",2.27,0.84,8.72,21.52,2.45,,,,,,,,,,,,,,
2009,Bulgaria,12.25,1.50,2,15.48,0.065,427.27,12.06,9.82,10.94,(3.49),52.02,7.47,(0.67),"6,961.09",(4.69),0.00,(15.95),22.30,(20.18),,,,,,,,,,,,,,
2010,Bulgaria,6.18,0.76,2,7.29,0.137,362.35,11.46,7.29,9.375,1.39,50.68,7.43,(0.65),"6,825.90",1.54,6.13,(19.09),18.04,14.13,,,,,,,,,,,,,,
2011,Bulgaria,0.00,0.00,0,0.45,2.227,322.11,8.48,7.10,7.79,2.36,57.68,7.38,(0.62),"7,817.14",2.14,0.66,(3.66),17.38,17.22,,,,,,,,,,,,,,
2012,Bulgaria,0.00,0.00,0,4.71,0.212,345.46,9.52,9.57,9.545,0.49,54.30,7.33,(0.61),"7,403.74",2.92,(0.27),2.00,17.73,2.32,,,,,,,,,,,,,,
2013,Bulgaria,0.00,0.00,1,9.28,0.108,491.52,8.00,8.65,8.325,(0.59),55.81,7.29,(0.60),"7,655.79",(3.24),2.76,(0.42),17.65,(0.98),,,,,,,,,,,,,,
2014,Bulgaria,0.00,0.00,1,8.99,0.111,522.10,7.23,8.70,7.965,1.14,57.08,7.25,(0.61),"7,878.20",1.25,(0.76),3.66,18.30,0.02,,,,,,,,,,,,,,
2015,Bulgaria,6.81,0.83,4,13.66,0.073,460.90,6.33,7.10,6.715,3.33,50.78,7.20,(0.63),"7,053.31",2.17,1.95,2.11,18.68,1.68,,,,,,,,,,,,,,
2016,Bulgaria,6.78,0.83,3,10.95,0.091,586.43,4.73,5.65,5.19,3.07,53.95,7.15,(0.66),"7,543.76",2.25,2.39,(5.68),17.62,2.11,,,,,,,,,,,,,,
2017,Bulgaria,0.12,0.01,2,14.50,0.069,677.45,4.35,3.64,3.995,2.79,59.20,7.10,(0.69),"8,335.28",2.73,5.61,2.59,18.08,3.45,,,,,,,,,,,,,,
2018,Bulgaria,48.74,5.98,3,14.12,0.071,594.46,3.77,3.12,3.445,2.81,66.33,7.05,(0.72),"9,406.71",4.07,4.37,5.32,19.04,0.34,,,,,,,,,,,,,,
2019,Bulgaria,3.45,0.42,2,10.50,0.095,568.14,3.94,2.73,3.335,3.93,68.88,7.00,(0.73),"9,840.34",5.27,1.52,3.79,19.76,0.54,,,,,,,,,,,,,,
2020,Bulgaria,8.95,1.10,3,8.40,0.119,447.53,3.25,2.47,2.86,(4.03),70.20,6.95,(0.74),"10,103.53",0.80,5.94,0.10,19.78,(5.87),,,,,,,,,,,,,,
2021,Bulgaria,722.51,88.57,1,14.66,0.068,635.68,2.92,2.22,2.57,7.15,84.04,6.90,(0.75),"12,185.29",7.67,(2.93),(7.27),18.34,9.80,,,,,,,,,,,,,,
2022,Bulgaria,0.00,0.00,0,4.99,0.200,601.49,NA,NA,#DIV/0!,4.23,90.21,6.84,(0.75),"13,180.18",3.87,6.58,5.13,19.28,12.70,,,,,,,,,,,,,,
2023,Bulgaria,0.00,0.00,0,5.39,0.185,765.12,NA,NA,#DIV/0!,1.94,98.54,6.79,(0.76),"14,507.06",5.23,(3.32),2.65,19.80,(7.76),,,,,,,,,,,,,,
